Date,DJIA,Open,High,Low,Vol.,Change %
2004/09/03,10260.20,10277.82,10321.77,10260.20,215.67M,-0.29%
2004/09/02,10290.28,10168.39,10301.49,10162.05,181.20M,1.20%
2004/09/01,10168.46,10170.12,10208.27,10110.65,171.95M,-0.05%
2004/08/31,10173.92,10121.97,10173.92,10074.22,163.58M,0.51%
2004/08/30,10122.52,10193.83,10196.78,10122.52,114.85M,-0.71%
2004/08/27,10195.01,10174.07,10211.25,10166.69,114.58M,0.21%
2004/08/26,10173.41,10181.07,10193.54,10155.86,131.96M,-0.08%
2004/08/25,10181.74,10098.49,10199.21,10068.11,172.57M,0.82%
2004/08/24,10098.63,10074.89,10146.79,10062.13,143.05M,0.25%
2004/08/23,10073.05,10111.10,10131.08,10067.97,144.50M,-0.37%
2004/08/20,10110.14,10040.81,10126.88,10012.51,175.00M,0.69%
2004/08/19,10040.82,10082.78,10082.78,9989.87,162.78M,-0.42%
2004/08/18,10083.15,9964.22,10083.15,9934.05,187.15M,1.11%
2004/08/17,9972.83,9955.50,10023.94,9952.11,186.12M,0.18%
2004/08/16,9954.55,9825.35,9967.08,9825.35,176.39M,1.31%
2004/08/13,9825.35,9814.11,9854.92,9783.91,182.59M,0.11%
2004/08/12,9814.59,9936.48,9936.48,9808.54,248.09M,-1.24%
2004/08/11,9938.32,9931.24,9954.18,9841.36,182.92M,-0.06%
2004/08/10,9944.67,9815.55,9944.67,9815.47,167.59M,1.32%
2004/08/09,9814.66,9816.14,9858.68,9811.12,148.32M,-0.01%
2004/08/06,9815.33,9960.67,9960.74,9793.05,215.87M,-1.48%
2004/08/05,9963.03,10127.10,10129.09,9955.73,178.25M,-1.61%
2004/08/04,10126.51,10117.96,10162.42,10068.11,157.43M,0.06%
2004/08/03,10120.24,10178.27,10178.28,10102.84,190.88M,-0.58%
2004/08/02,10179.16,10138.45,10203.56,10101.36,177.33M,0.39%
2004/07/30,10139.71,10129.12,10149.65,10086.32,197.24M,0.10%
2004/07/29,10129.24,10115.52,10163.01,10084.84,215.05M,0.12%
2004/07/28,10117.07,10084.03,10146.86,9994.22,223.56M,0.32%
